구시군,당선,2위
경북 군위군,김영만,장욱
경북 의성군,김주수,최유철
경북 청송군,윤경희,심상박
경북 영양군,오도창,박홍열
경북 영덕군,이희진,장성욱
경북 봉화군,엄태항,박노욱
경북 울진군,전찬걸,임광원
경남 창원시,허성무,조진래
경남 진주시,조규일,갈상돈
경남 통영시,강석주,강석우
경남 고성군,백두현,김홍식
경남 사천시,송도근,차상돈
경남 김해시,허성곤,정장수
경남 밀양시,박일호,조성환
경남 거제시,변광용,서일준
경남 의령군,이선두,한우상
경남 함안군,조근제,김용철
경남 창녕군,한정우,배종열
경남 양산시,김일권,나동연
경남 하동군,윤상기,이홍곤
경남 남해군,장충남,박영일
경남 함양군,서춘수,진병영
경남 산청군,이재근,허기도
경남 거창군,구인모,김기범
경남 합천군,문준희,정재영
